"category","country","unit","year","value","sheet"
"Bulk grains ","Thailand","Million dollars","2015",422.3,"Grains"
"Bulk grains ","Thailand","Million dollars","2014",440.3,"Grains"
"Bulk grains ","Thailand","Million dollars","2013",447.2,"Grains"
"Bulk grains ","Thailand","Million dollars","2012",427.4,"Grains"
"Bulk grains ","Thailand","Million dollars","2011",411.5,"Grains"
"Bulk grains ","Thailand","Million dollars","2010",397.9,"Grains"
"Bulk grains ","Thailand","Million dollars","2009",364.7,"Grains"
"Bulk grains ","Thailand","Million dollars","2008",335.1,"Grains"
"Bulk grains ","Thailand","Million dollars","2007",217.8,"Grains"
"Bulk grains ","Thailand","Million dollars","2006",183.5,"Grains"
"Bulk grains ","Thailand","Million dollars","2005",149.8,"Grains"
"Bulk grains ","Thailand","Million dollars","2004",160.2,"Grains"
"Bulk grains ","Thailand","Million dollars","2003",132.5,"Grains"
"Bulk grains ","Thailand","Million dollars","2002",95,"Grains"
"Bulk grains ","Thailand","Million dollars","2001",106.5,"Grains"
"Bulk grains ","Thailand","Million dollars","2000",121.5,"Grains"
"Bulk grains ","Thailand","Million dollars","1999",117.4,"Grains"
"Bulk grains ","India","Million dollars","2023",352.5,"Grains"
"Bulk grains ","India","Million dollars","2022",302,"Grains"
"Bulk grains ","India","Million dollars","2021",208.3,"Grains"
"Bulk grains ","India","Million dollars","2020",281.7,"Grains"
"Bulk grains ","India","Million dollars","2019",229.2,"Grains"
"Bulk grains ","India","Million dollars","2018",213.5,"Grains"
"Bulk grains ","India","Million dollars","2017",176.4,"Grains"
"Bulk grains ","India","Million dollars","2016",158.9,"Grains"
"Bulk grains ","India","Million dollars","2015",168.4,"Grains"
"Bulk grains ","India","Million dollars","2014",179.1,"Grains"
"Bulk grains ","India","Million dollars","2013",167.2,"Grains"
"Bulk grains ","India","Million dollars","2012",139.9,"Grains"
"Bulk grains ","India","Million dollars","2011",124.5,"Grains"
"Bulk grains ","India","Million dollars","2010",109.2,"Grains"
"Bulk grains ","India","Million dollars","2009",112.9,"Grains"
"Bulk grains ","India","Million dollars","2008",125,"Grains"
"Bulk grains ","India","Million dollars","2007",75.9,"Grains"
"Bulk grains ","India","Million dollars","2006",55.5,"Grains"
"Bulk grains ","India","Million dollars","2005",45.2,"Grains"
"Bulk grains ","India","Million dollars","2004",37.1,"Grains"
"Bulk grains ","India","Million dollars","2003",39.1,"Grains"
"Bulk grains ","India","Million dollars","2002",39.5,"Grains"
"Bulk grains ","India","Million dollars","2001",37.8,"Grains"
"Bulk grains ","India","Million dollars","2000",42.4,"Grains"
"Bulk grains ","India","Million dollars","1999",41,"Grains"
"Bulk grains ","Germany","Million dollars","2023",76,"Grains"
"Bulk grains ","Germany","Million dollars","2022",34.6,"Grains"
"Bulk grains ","Germany","Million dollars","2021",17.8,"Grains"
"Bulk grains ","Germany","Million dollars","2020",13.5,"Grains"
"Bulk grains ","Germany","Million dollars","2019",35.1,"Grains"
"Bulk grains ","Germany","Million dollars","2018",13.9,"Grains"
"Bulk grains ","Germany","Million dollars","2017",18.8,"Grains"
"Bulk grains ","Germany","Million dollars","2016",5.5,"Grains"
"Bulk grains ","Germany","Million dollars","2015",0.3,"Grains"
"Bulk grains ","Germany","Million dollars","2014",18.8,"Grains"
"Bulk grains ","Germany","Million dollars","2013",10.7,"Grains"
"Bulk grains ","Germany","Million dollars","2012",7.4,"Grains"
"Bulk grains ","Germany","Million dollars","2011",2.7,"Grains"
"Bulk grains ","Germany","Million dollars","2010",0,"Grains"
"Bulk grains ","Germany","Million dollars","2009",10.6,"Grains"
"Bulk grains ","Germany","Million dollars","2008",24.3,"Grains"
"Bulk grains ","Germany","Million dollars","2007",0.1,"Grains"
"Bulk grains ","Germany","Million dollars","2006",0.1,"Grains"
"Bulk grains ","Germany","Million dollars","2005",2.6,"Grains"
"Bulk grains ","Germany","Million dollars","2004",4.2,"Grains"
"Bulk grains ","Germany","Million dollars","2003",7.3,"Grains"
"Bulk grains ","Germany","Million dollars","2002",0.2,"Grains"
"Bulk grains ","Germany","Million dollars","2001",0.2,"Grains"
"Bulk grains ","Germany","Million dollars","2000",0.1,"Grains"
"Bulk grains ","Germany","Million dollars","1999",0.1,"Grains"
"Bulk grains ","Poland","Million dollars","2023",63.9,"Grains"
"Bulk grains ","Poland","Million dollars","2022",0.3,"Grains"
"Bulk grains ","Poland","Million dollars","2021",2.8,"Grains"
"Bulk grains ","Poland","Million dollars","2020",0.3,"Grains"
"Bulk grains ","Poland","Million dollars","2019",0.2,"Grains"
"Bulk grains ","Poland","Million dollars","2018",0.2,"Grains"
"Bulk grains ","Poland","Million dollars","2017",0.3,"Grains"
"Bulk grains ","Poland","Million dollars","2016",0.2,"Grains"
"Bulk grains ","Poland","Million dollars","2015",4.3,"Grains"
"Bulk grains ","Poland","Million dollars","2014",14.8,"Grains"
"Bulk grains ","Poland","Million dollars","2013",2.8,"Grains"
"Bulk grains ","Poland","Million dollars","2012",0.4,"Grains"
"Bulk grains ","Poland","Million dollars","2011",0.5,"Grains"
"Bulk grains ","Poland","Million dollars","2010",0.6,"Grains"
"Bulk grains ","Poland","Million dollars","2009",0.3,"Grains"
"Bulk grains ","Poland","Million dollars","2008",0.4,"Grains"
"Bulk grains ","Poland","Million dollars","2007",0.3,"Grains"
"Bulk grains ","Poland","Million dollars","2006",0.3,"Grains"
"Bulk grains ","Poland","Million dollars","2005",0.2,"Grains"
"Bulk grains ","Poland","Million dollars","2004",0.1,"Grains"
"Bulk grains ","Poland","Million dollars","2003",0.2,"Grains"
"Bulk grains ","Poland","Million dollars","2002",0,"Grains"
"Bulk grains ","Poland","Million dollars","2001",0.1,"Grains"
"Bulk grains ","Poland","Million dollars","2000",0.2,"Grains"
"Bulk grains ","Poland","Million dollars","1999",0.1,"Grains"
"Bulk grains ","Argentina","Million dollars","2023",62.5,"Grains"
"Bulk grains ","Argentina","Million dollars","2022",113.4,"Grains"
"Bulk grains ","Argentina","Million dollars","2021",83.2,"Grains"
"Bulk grains ","Argentina","Million dollars","2020",72.1,"Grains"
"Bulk grains ","Argentina","Million dollars","2019",66.1,"Grains"
"Bulk grains ","Argentina","Million dollars","2018",48.6,"Grains"
"Bulk grains ","Argentina","Million dollars","2017",55,"Grains"
